moveNumber,playerState,opponentState,crowdedState
0,0.8,0.4,0.5
10,0.5,-0.1,0.1
20,0.8,0.4,0.5
30,0.6,0,0.6
40,0.1,0.6,0.5
50,0.8,0.4,-0.1
60,0.8,-0.1,-0.1
70,0.3,0.5,0.4
80,0.3,-0.1,0
90,0.6,0.3,0.3
